datetime,open,high,low,close,volume
2022-08-12,0.5249,0.5432,0.5212,0.5402,8594352.0
2022-08-13,0.5393,0.5619,0.5308,0.5615,822492.0
2022-08-14,0.5706,0.6132,0.45,0.6132,8989376.0
2022-08-15,0.8501,0.8501,0.45,0.45,28.0
2022-08-16,0.5654,0.8501,0.5654,0.8501,400.0
2022-08-17,0.8501,0.8501,0.8501,0.8501,1.0
2022-08-18,0.573,0.573,0.573,0.573,10.0
2022-08-19,0.573,0.573,0.573,0.573,0.0
2022-08-20,0.573,0.573,0.573,0.573,87.0
2022-08-21,0.573,0.573,0.573,0.573,0.0
2022-08-22,0.573,0.573,0.573,0.573,0.0
2022-08-23,0.8501,0.8501,0.573,0.573,1689.0
2022-08-24,0.573,0.573,0.573,0.573,100.0
2022-08-25,0.8501,0.8501,0.573,0.573,58.0
2022-08-26,0.573,0.573,0.573,0.573,310.0
2022-08-27,0.573,0.573,0.573,0.573,0.0
2022-08-28,0.573,0.573,0.573,0.573,0.0
2022-08-29,0.573,0.573,0.573,0.573,0.0
2022-08-30,0.573,0.573,0.573,0.573,0.0
2022-08-31,0.573,0.573,0.573,0.573,0.0
2022-09-01,0.573,0.573,0.573,0.573,0.0
2022-09-02,0.573,0.573,0.573,0.573,0.0
2022-09-03,0.573,0.573,0.573,0.573,0.0
2022-09-04,0.573,0.573,0.573,0.573,369.0
2022-09-05,0.573,0.573,0.573,0.573,0.0
2022-09-06,0.573,0.8001,0.4591,0.4614,183735214.0
2022-09-07,0.4614,0.4859,0.4539,0.4779,329822217.0
2022-09-08,0.4876,0.4888,0.4621,0.4784,396788915.0
2022-09-09,0.4856,0.5055,0.4779,0.5019,506984735.0
2022-09-10,0.5008,0.5247,0.494,0.5115,570477715.0
2022-09-11,0.5122,0.5203,0.4988,0.5102,402974096.0
2022-09-12,0.5102,0.52,0.4952,0.5019,484967674.0
2022-09-13,0.5019,0.5096,0.4605,0.4637,530645635.0
2022-09-14,0.4631,0.4872,0.4614,0.4809,408080167.0
2022-09-15,0.4801,0.4821,0.4611,0.4661,382667690.0
2022-09-16,0.4655,0.4747,0.4529,0.4739,299235188.0
2022-09-17,0.4738,0.4886,0.4716,0.486,256365267.0
2022-09-18,0.486,0.4905,0.437,0.448,353559669.0
2022-09-19,0.4472,0.4573,0.4319,0.4519,351591811.0
2022-09-20,0.4519,0.4546,0.4365,0.4423,291464672.0
2022-09-21,0.4423,0.4649,0.4262,0.4384,620561838.0
2022-09-22,0.4384,0.4667,0.4334,0.4575,415222438.0
2022-09-23,0.4585,0.4827,0.4452,0.4621,551463998.0
2022-09-24,0.463,0.4851,0.4498,0.4511,25184043.0
2022-09-25,0.4527,0.4603,0.4425,0.4447,5925724.0
2022-09-26,0.448,0.478,0.412,0.446,4314032.0
2022-09-27,0.4566,0.4692,0.4566,0.4583,1147535.0
2022-09-28,0.4291,0.4377,0.4291,0.4365,811958.0
2022-09-29,0.4313,0.435,0.3917,0.435,2276987.0
2022-09-30,0.4405,0.4405,0.4357,0.4357,677258.0
2022-10-01,0.4333,0.4333,0.4295,0.4298,801932.0
2022-10-02,0.4302,0.4984,0.3917,0.4188,208705.0
2022-10-03,0.4192,0.4984,0.4192,0.4234,727528.0
2022-10-04,0.3917,0.3917,0.3917,0.3917,145.0
2022-10-05,0.4312,0.4312,0.4312,0.4312,186366.0
2022-10-06,0.4313,0.4319,0.4293,0.4301,734295.0
2022-10-07,0.4301,0.4301,0.4301,0.4301,0.0
2022-10-08,0.4244,0.4245,0.4226,0.4226,380154.0
2022-10-09,0.4226,0.4226,0.4226,0.4226,0.0
2022-10-10,0.412,0.412,0.399,0.4011,290767.0
2022-10-11,0.3917,0.3951,0.3833,0.3895,5028887.0
2022-10-12,0.3833,0.3972,0.3752,0.3812,7916651.0
2022-10-13,0.3808,0.3852,0.3724,0.3789,2301708.0
2022-10-14,0.3904,0.3904,0.3604,0.3662,195692329.0
2022-10-15,0.3664,0.3698,0.3605,0.3639,179870639.0
2022-10-16,0.3636,0.3792,0.3634,0.3706,53491606.0
2022-10-17,0.3707,0.3822,0.3663,0.3765,15903409.0
2022-10-18,0.3765,0.3779,0.3564,0.3621,73117109.0
2022-10-19,0.3628,0.3631,0.3461,0.3497,144787756.0
2022-10-20,0.3497,0.3567,0.3359,0.3401,176815015.0
2022-10-21,0.3401,0.3548,0.3292,0.3548,184474506.0
2022-10-22,0.3548,0.3581,0.3435,0.3535,4711056.0
2022-10-23,0.3535,0.3739,0.3475,0.3739,2633453.0
2022-10-24,0.3744,0.3776,0.3546,0.3546,6083.0
2022-10-25,0.4361,0.4361,0.3546,0.3978,159.0
2022-10-26,0.3978,0.3978,0.3978,0.3978,0.0
2022-10-27,0.3546,0.5048,0.3546,0.5048,416485.0
2022-10-28,0.5048,0.5048,0.5048,0.5048,0.0
2022-10-29,0.5048,0.5048,0.5048,0.5048,0.0
2022-10-30,0.32,12.0,0.32,9.0,1268.0
2022-10-31,9.0,9.0,9.0,9.0,0.0
2022-11-01,9.0,9.0,9.0,9.0,0.0
2022-11-02,5.0,5.0,0.36,0.361,484.0
2022-11-03,0.37,0.37,0.36,0.36,817.0
2022-11-04,0.37,0.37,0.36,0.36,4.0
2022-11-05,0.36,0.36,0.36,0.36,0.0
2022-11-06,0.36,0.36,0.36,0.36,0.0
2022-11-07,0.37,0.37,0.36,0.36,6.0
2022-11-08,0.37,0.37,0.35,0.35,99.0
2022-11-09,0.37,0.37,0.37,0.37,20.0
2022-11-10,0.37,0.37,0.37,0.37,0.0
2022-11-11,0.37,0.37,0.37,0.37,0.0
2022-11-12,0.37,0.37,0.37,0.37,0.0
2022-11-13,0.37,0.37,0.37,0.37,0.0
2022-11-14,0.37,0.37,0.37,0.37,0.0
2022-11-15,0.35,0.35,0.35,0.35,2.0
2022-11-16,0.35,0.35,0.35,0.35,0.0
2022-11-17,0.35,0.35,0.35,0.35,0.0
2022-11-18,0.3707,0.3707,0.3707,0.3707,5.0
2022-11-19,0.35,0.35,0.35,0.35,155.0
2022-11-20,0.35,0.35,0.35,0.35,0.0
2022-11-21,0.35,0.35,0.35,0.35,0.0
2022-11-22,0.35,0.35,0.35,0.35,1.0
2022-11-23,0.35,0.35,0.35,0.35,4.0
2022-11-24,0.35,0.35,0.35,0.35,0.0
2022-11-25,0.35,0.35,0.35,0.35,12.0
2022-11-26,0.35,0.35,0.35,0.35,1.0
2022-11-27,0.35,0.35,0.35,0.35,1.0
2022-11-28,0.35,0.35,0.35,0.35,2.0
2022-11-29,0.35,0.35,0.35,0.35,1.0
2022-11-30,0.35,0.35,0.35,0.35,114.0
2022-12-01,0.35,0.35,0.35,0.35,0.0
2022-12-02,0.35,0.35,0.35,0.35,0.0
2022-12-03,0.35,0.35,0.35,0.35,0.0
2022-12-04,0.35,0.35,0.35,0.35,0.0
2022-12-05,0.35,0.35,0.35,0.35,0.0
2022-12-06,0.35,0.35,0.35,0.35,0.0
2022-12-07,0.35,0.35,0.35,0.35,0.0
2022-12-08,0.35,0.35,0.35,0.35,0.0
2022-12-09,0.35,0.35,0.35,0.35,0.0
2022-12-10,0.35,0.35,0.35,0.35,0.0
2022-12-11,0.35,0.35,0.35,0.35,0.0
2022-12-12,0.35,0.35,0.35,0.35,0.0
2022-12-13,0.35,0.35,0.35,0.35,0.0
2022-12-14,0.35,0.35,0.35,0.35,0.0
2022-12-15,0.35,0.35,0.35,0.35,0.0
2022-12-16,0.35,0.35,0.35,0.35,0.0
2022-12-17,0.35,0.35,0.35,0.35,0.0
2022-12-18,0.35,0.35,0.35,0.35,0.0
2022-12-19,0.35,0.35,0.35,0.35,0.0
2022-12-20,0.35,0.35,0.35,0.35,0.0
2022-12-21,0.35,0.35,0.35,0.35,0.0
2022-12-22,0.35,0.35,0.35,0.35,0.0
2022-12-23,0.35,0.35,0.35,0.35,0.0
2022-12-24,0.35,0.35,0.35,0.35,0.0
2022-12-25,0.35,0.35,0.35,0.35,0.0
2022-12-26,0.35,0.35,0.35,0.35,0.0
2022-12-27,0.35,0.35,0.35,0.35,0.0
2022-12-28,0.35,0.35,0.35,0.35,0.0
2022-12-29,0.35,0.35,0.35,0.35,0.0
2022-12-30,0.35,0.35,0.35,0.35,0.0
2022-04-18,0.9225,0.9409,0.8741,0.9357,1069548.0
2022-06-15,0.4,0.4,0.4,0.4,10.0
2022-06-16,0.4,0.4,0.4,0.4,500.0
2022-06-17,0.3999,0.4994,0.3997,0.4873,263356073.0
2022-06-18,0.4865,0.493,0.4197,0.4548,622427949.0
2022-06-19,0.4541,0.4901,0.4352,0.4843,505369577.0
2022-06-20,0.4842,0.5091,0.4606,0.4912,526586497.0
2022-06-21,0.4917,0.5118,0.474,0.4806,477917732.0
2022-06-22,0.4806,0.4815,0.4549,0.4592,416325192.0
2022-06-23,0.4585,0.4832,0.4553,0.4798,331397967.0
2022-06-24,0.48,0.51,0.4753,0.4982,421611905.0
2022-06-25,0.4973,0.5081,0.4776,0.4976,307342097.0
2022-06-26,0.4987,0.5263,0.4878,0.4899,417593696.0
2022-06-27,0.4899,0.509,0.4747,0.4856,347440153.0
2022-06-28,0.4856,0.4976,0.466,0.4694,363009050.0
2022-06-29,0.4692,0.4772,0.458,0.465,355778071.0
2022-06-30,0.466,0.4677,0.4327,0.4591,431997912.0
2022-07-01,0.4599,0.4752,0.4419,0.4478,399007282.0
2022-07-02,0.4487,0.4621,0.4397,0.4552,244392176.0
2022-07-03,0.4552,0.4601,0.4429,0.4562,220680018.0
2022-07-04,0.4562,0.4765,0.4437,0.469,374932890.0
2022-07-05,0.469,0.4725,0.4436,0.4565,353523122.0
2022-07-06,0.4573,0.4656,0.446,0.4616,281342416.0
2022-07-07,0.4622,0.4827,0.4602,0.4781,290267679.0
2022-07-08,0.4771,0.4937,0.4597,0.4661,342535398.0
2022-07-09,0.4652,0.4849,0.4647,0.4781,241300980.0
2022-07-10,0.4781,0.4797,0.454,0.4618,245307412.0
2022-07-11,0.4618,0.4628,0.4309,0.434,310314728.0
2022-07-12,0.4339,0.4426,0.4146,0.4171,347010230.0
2022-07-13,0.4171,0.4426,0.401,0.4384,458492395.0
2022-07-14,0.4385,0.4472,0.416,0.4416,367620422.0
2022-07-15,0.4409,0.4541,0.4317,0.442,326222799.0
2022-07-16,0.442,0.4592,0.431,0.4574,277960211.0
2022-07-17,0.4574,0.4661,0.441,0.4472,264843485.0
2022-07-18,0.4472,0.5002,0.4451,0.4907,506196479.0
2022-07-19,0.4898,0.5262,0.4727,0.5146,549110615.0
2022-07-20,0.5146,0.5489,0.4857,0.4904,593886070.0
2022-07-21,0.4911,0.5025,0.4751,0.4989,410948731.0
2022-07-22,0.4994,0.5115,0.4765,0.4829,347115138.0
2022-07-23,0.4822,0.5186,0.4724,0.5173,382157167.0
2022-07-24,0.5173,0.537,0.509,0.5113,460594072.0
2022-07-25,0.5124,0.5156,0.4734,0.474,374889190.0
2022-07-26,0.4751,0.4774,0.4501,0.4669,331834634.0
2022-07-27,0.467,0.5124,0.4581,0.5106,414681804.0
2022-07-28,0.5113,0.5249,0.4879,0.5132,445522941.0
2022-07-29,0.5123,0.546,0.5056,0.5225,604201619.0
2022-07-30,0.5225,0.5572,0.5082,0.5254,520652140.0
2022-07-31,0.5254,0.5449,0.5121,0.5166,366848055.0
2022-08-01,0.5166,0.5266,0.5,0.5126,327838248.0
2022-08-02,0.5117,0.5159,0.4879,0.4954,371660504.0
2022-08-03,0.4957,0.5171,0.4882,0.4999,291794278.0
2022-08-04,0.5006,0.5115,0.493,0.4997,256997508.0
2022-08-05,0.4991,0.5198,0.4986,0.5168,273387309.0
2022-08-06,0.5177,0.5241,0.509,0.5107,193810112.0
2022-08-07,0.5109,0.5383,0.5054,0.5278,254445551.0
2022-08-08,0.5269,0.5498,0.5224,0.5365,383800122.0
2022-08-09,0.5361,0.5375,0.5047,0.5129,317703922.0
2022-08-10,0.5129,0.5383,0.4562,0.5368,223279752.0
2022-08-11,0.5397,0.5544,0.5306,0.5306,13566647.0
2022-08-12,0.5249,0.5432,0.5212,0.5402,8594352.0
2022-08-13,0.5393,0.5619,0.5308,0.5615,822492.0
2022-08-14,0.5706,0.6132,0.45,0.6132,8989376.0
2022-08-15,0.8501,0.8501,0.45,0.45,28.0
2022-08-16,0.5654,0.8501,0.5654,0.8501,400.0
2022-08-17,0.8501,0.8501,0.8501,0.8501,1.0
2022-08-18,0.573,0.573,0.573,0.573,10.0
2022-08-19,0.573,0.573,0.573,0.573,0.0
2022-08-20,0.573,0.573,0.573,0.573,87.0
2022-08-21,0.573,0.573,0.573,0.573,0.0
2022-08-22,0.573,0.573,0.573,0.573,0.0
2022-08-23,0.8501,0.8501,0.573,0.573,1689.0
2022-08-24,0.573,0.573,0.573,0.573,100.0
2022-08-25,0.8501,0.8501,0.573,0.573,58.0
2022-08-26,0.573,0.573,0.573,0.573,310.0
2022-08-27,0.573,0.573,0.573,0.573,0.0
2022-08-28,0.573,0.573,0.573,0.573,0.0
2022-08-29,0.573,0.573,0.573,0.573,0.0
2022-08-30,0.573,0.573,0.573,0.573,0.0
2022-08-31,0.573,0.573,0.573,0.573,0.0
2022-09-01,0.573,0.573,0.573,0.573,0.0
2022-09-02,0.573,0.573,0.573,0.573,0.0
2022-09-03,0.573,0.573,0.573,0.573,0.0
2022-09-04,0.573,0.573,0.573,0.573,369.0
2022-09-05,0.573,0.573,0.573,0.573,0.0
2022-09-06,0.573,0.8001,0.4591,0.4614,183735214.0
2022-09-07,0.4614,0.4859,0.4539,0.4779,329822217.0
2022-09-08,0.4876,0.4888,0.4621,0.4784,396788915.0
2022-09-09,0.4856,0.5055,0.4779,0.5019,506984735.0
2022-09-10,0.5008,0.5247,0.494,0.5115,570477715.0
2022-09-11,0.5122,0.5203,0.4988,0.5102,402974096.0
2022-09-12,0.5102,0.52,0.4952,0.5019,484967674.0
2022-09-13,0.5019,0.5096,0.4605,0.4637,530645635.0
2022-09-14,0.4631,0.4872,0.4614,0.4809,408080167.0
2022-09-15,0.4801,0.4821,0.4611,0.4661,382667690.0
2022-09-16,0.4655,0.4747,0.4529,0.4739,299235188.0
2022-09-17,0.4738,0.4886,0.4716,0.486,256365267.0
2022-09-18,0.486,0.4905,0.437,0.448,353559669.0
2022-09-19,0.4472,0.4573,0.4319,0.4519,351591811.0
2022-09-20,0.4519,0.4546,0.4365,0.4423,291464672.0
2022-09-21,0.4423,0.4649,0.4262,0.4384,620561838.0
2022-09-22,0.4384,0.4667,0.4334,0.4575,415222438.0
2022-09-23,0.4585,0.4827,0.4452,0.4621,551463998.0
2022-09-24,0.463,0.4851,0.4498,0.4511,25184043.0
2022-09-25,0.4527,0.4603,0.4425,0.4447,5925724.0
2022-09-26,0.448,0.478,0.412,0.446,4314032.0
2022-09-27,0.4566,0.4692,0.4566,0.4583,1147535.0
2022-09-28,0.4291,0.4377,0.4291,0.4365,811958.0
2022-09-29,0.4313,0.435,0.3917,0.435,2276987.0
2022-09-30,0.4405,0.4405,0.4357,0.4357,677258.0
2022-10-01,0.4333,0.4333,0.4295,0.4298,801932.0
2022-10-02,0.4302,0.4984,0.3917,0.4188,208705.0
2022-10-03,0.4192,0.4984,0.4192,0.4234,727528.0
2022-10-04,0.3917,0.3917,0.3917,0.3917,145.0
2022-10-05,0.4312,0.4312,0.4312,0.4312,186366.0
2022-10-06,0.4313,0.4319,0.4293,0.4301,734295.0
2022-10-07,0.4301,0.4301,0.4301,0.4301,0.0
2022-10-08,0.4244,0.4245,0.4226,0.4226,380154.0
2022-10-09,0.4226,0.4226,0.4226,0.4226,0.0
2022-10-10,0.412,0.412,0.399,0.4011,290767.0
2022-10-11,0.3917,0.3951,0.3833,0.3895,5028887.0
2022-10-12,0.3833,0.3972,0.3752,0.3812,7916651.0
2022-10-13,0.3808,0.3852,0.3724,0.3789,2301708.0
2022-10-14,0.3904,0.3904,0.3604,0.3662,195692329.0
2022-10-15,0.3664,0.3698,0.3605,0.3639,179870639.0
2022-10-16,0.3636,0.3792,0.3634,0.3706,53491606.0
2022-10-17,0.3707,0.3822,0.3663,0.3765,15903409.0
2022-10-18,0.3765,0.3779,0.3564,0.3621,73117109.0
2022-10-19,0.3628,0.3631,0.3461,0.3497,144787756.0
2022-10-20,0.3497,0.3567,0.3359,0.3401,176815015.0
2022-10-21,0.3401,0.3548,0.3292,0.3548,184474506.0
2022-10-22,0.3548,0.3581,0.3435,0.3535,4711056.0
2022-10-23,0.3535,0.3739,0.3475,0.3739,2633453.0
2022-10-24,0.3744,0.3776,0.3546,0.3546,6083.0
2022-10-25,0.4361,0.4361,0.3546,0.3978,159.0
2022-10-26,0.3978,0.3978,0.3978,0.3978,0.0
2022-10-27,0.3546,0.5048,0.3546,0.5048,416485.0
2022-10-28,0.5048,0.5048,0.5048,0.5048,0.0
2022-10-29,0.5048,0.5048,0.5048,0.5048,0.0
2022-10-30,0.32,12.0,0.32,9.0,1268.0
2022-10-31,9.0,9.0,9.0,9.0,0.0
2022-11-01,9.0,9.0,9.0,9.0,0.0
2022-11-02,5.0,5.0,0.36,0.361,484.0
2022-11-03,0.37,0.37,0.36,0.36,817.0
2022-11-04,0.37,0.37,0.36,0.36,4.0
2022-11-05,0.36,0.36,0.36,0.36,0.0
2022-11-06,0.36,0.36,0.36,0.36,0.0
2022-11-07,0.37,0.37,0.36,0.36,6.0
2022-11-08,0.37,0.37,0.35,0.35,99.0
2022-11-09,0.37,0.37,0.37,0.37,20.0
2022-11-10,0.37,0.37,0.37,0.37,0.0
2022-11-11,0.37,0.37,0.37,0.37,0.0
2022-11-12,0.37,0.37,0.37,0.37,0.0
2022-11-13,0.37,0.37,0.37,0.37,0.0
2022-11-14,0.37,0.37,0.37,0.37,0.0
2022-11-15,0.35,0.35,0.35,0.35,2.0
2022-11-16,0.35,0.35,0.35,0.35,0.0
2022-11-17,0.35,0.35,0.35,0.35,0.0
2022-11-18,0.3707,0.3707,0.3707,0.3707,5.0
2022-11-19,0.35,0.35,0.35,0.35,155.0
2022-11-20,0.35,0.35,0.35,0.35,0.0
2022-11-21,0.35,0.35,0.35,0.35,0.0
2022-11-22,0.35,0.35,0.35,0.35,1.0
2022-11-23,0.35,0.35,0.35,0.35,4.0
2022-11-24,0.35,0.35,0.35,0.35,0.0
2022-11-25,0.35,0.35,0.35,0.35,12.0
2022-11-26,0.35,0.35,0.35,0.35,1.0
2022-11-27,0.35,0.35,0.35,0.35,1.0
2022-11-28,0.35,0.35,0.35,0.35,2.0
2022-11-29,0.35,0.35,0.35,0.35,1.0
2022-11-30,0.35,0.35,0.35,0.35,114.0
2022-12-01,0.35,0.35,0.35,0.35,0.0
2022-12-02,0.35,0.35,0.35,0.35,0.0
2022-12-03,0.35,0.35,0.35,0.35,0.0
2022-12-04,0.35,0.35,0.35,0.35,0.0
2022-12-05,0.35,0.35,0.35,0.35,0.0
2022-12-06,0.35,0.35,0.35,0.35,0.0
2022-12-07,0.35,0.35,0.35,0.35,0.0
2022-12-08,0.35,0.35,0.35,0.35,0.0
2022-12-09,0.35,0.35,0.35,0.35,0.0
2022-12-10,0.35,0.35,0.35,0.35,0.0
2022-12-11,0.35,0.35,0.35,0.35,0.0
2022-12-12,0.35,0.35,0.35,0.35,0.0
2022-12-13,0.35,0.35,0.35,0.35,0.0
2022-12-14,0.35,0.35,0.35,0.35,0.0
2022-12-15,0.35,0.35,0.35,0.35,0.0
2022-12-16,0.35,0.35,0.35,0.35,0.0
2022-12-17,0.35,0.35,0.35,0.35,0.0
2022-12-18,0.35,0.35,0.35,0.35,0.0
2022-12-19,0.35,0.35,0.35,0.35,0.0
2022-12-20,0.35,0.35,0.35,0.35,0.0
2022-12-21,0.35,0.35,0.35,0.35,0.0
2022-12-22,0.35,0.35,0.35,0.35,0.0
2022-12-23,0.35,0.35,0.35,0.35,0.0
2022-12-24,0.35,0.35,0.35,0.35,0.0
2022-12-25,0.35,0.35,0.35,0.35,0.0
2022-12-26,0.35,0.35,0.35,0.35,0.0
2022-12-27,0.35,0.35,0.35,0.35,0.0
2022-12-28,0.35,0.35,0.35,0.35,0.0
2022-12-29,0.35,0.35,0.35,0.35,0.0
2022-12-30,0.35,0.35,0.35,0.35,0.0
2022-04-18,0.9225,0.9409,0.8741,0.9357,1069548.0
2022-06-15,0.4,0.4,0.4,0.4,10.0
2022-06-16,0.4,0.4,0.4,0.4,500.0
2022-06-17,0.3999,0.4994,0.3997,0.4873,263356073.0
2022-06-18,0.4865,0.493,0.4197,0.4548,622427949.0
2022-06-19,0.4541,0.4901,0.4352,0.4843,505369577.0
2022-06-20,0.4842,0.5091,0.4606,0.4912,526586497.0
2022-06-21,0.4917,0.5118,0.474,0.4806,477917732.0
2022-06-22,0.4806,0.4815,0.4549,0.4592,416325192.0
2022-06-23,0.4585,0.4832,0.4553,0.4798,331397967.0
2022-06-24,0.48,0.51,0.4753,0.4982,421611905.0
2022-06-25,0.4973,0.5081,0.4776,0.4976,307342097.0
2022-06-26,0.4987,0.5263,0.4878,0.4899,417593696.0
2022-06-27,0.4899,0.509,0.4747,0.4856,347440153.0
2022-06-28,0.4856,0.4976,0.466,0.4694,363009050.0
2022-06-29,0.4692,0.4772,0.458,0.465,355778071.0
2022-06-30,0.466,0.4677,0.4327,0.4591,431997912.0
2022-07-01,0.4599,0.4752,0.4419,0.4478,399007282.0
2022-07-02,0.4487,0.4621,0.4397,0.4552,244392176.0
2022-07-03,0.4552,0.4601,0.4429,0.4562,220680018.0
2022-07-04,0.4562,0.4765,0.4437,0.469,374932890.0
2022-07-05,0.469,0.4725,0.4436,0.4565,353523122.0
2022-07-06,0.4573,0.4656,0.446,0.4616,281342416.0
2022-07-07,0.4622,0.4827,0.4602,0.4781,290267679.0
2022-07-08,0.4771,0.4937,0.4597,0.4661,342535398.0
2022-07-09,0.4652,0.4849,0.4647,0.4781,241300980.0
2022-07-10,0.4781,0.4797,0.454,0.4618,245307412.0
2022-07-11,0.4618,0.4628,0.4309,0.434,310314728.0
2022-07-12,0.4339,0.4426,0.4146,0.4171,347010230.0
2022-07-13,0.4171,0.4426,0.401,0.4384,458492395.0
2022-07-14,0.4385,0.4472,0.416,0.4416,367620422.0
2022-07-15,0.4409,0.4541,0.4317,0.442,326222799.0
2022-07-16,0.442,0.4592,0.431,0.4574,277960211.0
2022-07-17,0.4574,0.4661,0.441,0.4472,264843485.0
2022-07-18,0.4472,0.5002,0.4451,0.4907,506196479.0
2022-07-19,0.4898,0.5262,0.4727,0.5146,549110615.0
2022-07-20,0.5146,0.5489,0.4857,0.4904,593886070.0
2022-07-21,0.4911,0.5025,0.4751,0.4989,410948731.0
2022-07-22,0.4994,0.5115,0.4765,0.4829,347115138.0
2022-07-23,0.4822,0.5186,0.4724,0.5173,382157167.0
2022-07-24,0.5173,0.537,0.509,0.5113,460594072.0
2022-07-25,0.5124,0.5156,0.4734,0.474,374889190.0
2022-07-26,0.4751,0.4774,0.4501,0.4669,331834634.0
2022-07-27,0.467,0.5124,0.4581,0.5106,414681804.0
2022-07-28,0.5113,0.5249,0.4879,0.5132,445522941.0
2022-07-29,0.5123,0.546,0.5056,0.5225,604201619.0
2022-07-30,0.5225,0.5572,0.5082,0.5254,520652140.0
2022-07-31,0.5254,0.5449,0.5121,0.5166,366848055.0
2022-08-01,0.5166,0.5266,0.5,0.5126,327838248.0
2022-08-02,0.5117,0.5159,0.4879,0.4954,371660504.0
2022-08-03,0.4957,0.5171,0.4882,0.4999,291794278.0
2022-08-04,0.5006,0.5115,0.493,0.4997,256997508.0
2022-08-05,0.4991,0.5198,0.4986,0.5168,273387309.0
2022-08-06,0.5177,0.5241,0.509,0.5107,193810112.0
2022-08-07,0.5109,0.5383,0.5054,0.5278,254445551.0
2022-08-08,0.5269,0.5498,0.5224,0.5365,383800122.0
2022-08-09,0.5361,0.5375,0.5047,0.5129,317703922.0
2022-08-10,0.5129,0.5383,0.4562,0.5368,223279752.0
2022-08-11,0.5397,0.5544,0.5306,0.5306,13566647.0
2022-08-12,0.5249,0.5432,0.5212,0.5402,8594352.0
2022-08-13,0.5393,0.5619,0.5308,0.5615,822492.0
2022-08-14,0.5706,0.6132,0.45,0.6132,8989376.0
2022-08-15,0.8501,0.8501,0.45,0.45,28.0
2022-08-16,0.5654,0.8501,0.5654,0.8501,400.0
2022-08-17,0.8501,0.8501,0.8501,0.8501,1.0
2022-08-18,0.573,0.573,0.573,0.573,10.0
2022-08-19,0.573,0.573,0.573,0.573,0.0
2022-08-20,0.573,0.573,0.573,0.573,87.0
2022-08-21,0.573,0.573,0.573,0.573,0.0
2022-08-22,0.573,0.573,0.573,0.573,0.0
2022-08-23,0.8501,0.8501,0.573,0.573,1689.0
2022-08-24,0.573,0.573,0.573,0.573,100.0
2022-08-25,0.8501,0.8501,0.573,0.573,58.0
2022-08-26,0.573,0.573,0.573,0.573,310.0
2022-08-27,0.573,0.573,0.573,0.573,0.0
2022-08-28,0.573,0.573,0.573,0.573,0.0
2022-08-29,0.573,0.573,0.573,0.573,0.0
2022-08-30,0.573,0.573,0.573,0.573,0.0
2022-08-31,0.573,0.573,0.573,0.573,0.0
2022-09-01,0.573,0.573,0.573,0.573,0.0
2022-09-02,0.573,0.573,0.573,0.573,0.0
2022-09-03,0.573,0.573,0.573,0.573,0.0
2022-09-04,0.573,0.573,0.573,0.573,369.0
2022-09-05,0.573,0.573,0.573,0.573,0.0
2022-09-06,0.573,0.8001,0.4591,0.4614,183735214.0
2022-09-07,0.4614,0.4859,0.4539,0.4779,329822217.0
2022-09-08,0.4876,0.4888,0.4621,0.4784,396788915.0
2022-09-09,0.4856,0.5055,0.4779,0.5019,506984735.0
2022-09-10,0.5008,0.5247,0.494,0.5115,570477715.0
2022-09-11,0.5122,0.5203,0.4988,0.5102,402974096.0
2022-09-12,0.5102,0.52,0.4952,0.5019,484967674.0
2022-09-13,0.5019,0.5096,0.4605,0.4637,530645635.0
2022-09-14,0.4631,0.4872,0.4614,0.4809,408080167.0
2022-09-15,0.4801,0.4821,0.4611,0.4661,382667690.0
2022-09-16,0.4655,0.4747,0.4529,0.4739,299235188.0
2022-09-17,0.4738,0.4886,0.4716,0.486,256365267.0
2022-09-18,0.486,0.4905,0.437,0.448,353559669.0
2022-09-19,0.4472,0.4573,0.4319,0.4519,351591811.0
2022-09-20,0.4519,0.4546,0.4365,0.4423,291464672.0
2022-09-21,0.4423,0.4649,0.4262,0.4384,620561838.0
2022-09-22,0.4384,0.4667,0.4334,0.4575,415222438.0
2022-09-23,0.4585,0.4827,0.4452,0.4621,551463998.0
2022-09-24,0.463,0.4851,0.4498,0.4511,25184043.0
2022-09-25,0.4527,0.4603,0.4425,0.4447,5925724.0
2022-09-26,0.448,0.478,0.412,0.446,4314032.0
2022-09-27,0.4566,0.4692,0.4566,0.4583,1147535.0
2022-09-28,0.4291,0.4377,0.4291,0.4365,811958.0
2022-09-29,0.4313,0.435,0.3917,0.435,2276987.0
2022-09-30,0.4405,0.4405,0.4357,0.4357,677258.0
2022-10-01,0.4333,0.4333,0.4295,0.4298,801932.0
2022-10-02,0.4302,0.4984,0.3917,0.4188,208705.0
2022-10-03,0.4192,0.4984,0.4192,0.4234,727528.0
2022-10-04,0.3917,0.3917,0.3917,0.3917,145.0
2022-10-05,0.4312,0.4312,0.4312,0.4312,186366.0
2022-10-06,0.4313,0.4319,0.4293,0.4301,734295.0
2022-10-07,0.4301,0.4301,0.4301,0.4301,0.0
2022-10-08,0.4244,0.4245,0.4226,0.4226,380154.0
2022-10-09,0.4226,0.4226,0.4226,0.4226,0.0
2022-10-10,0.412,0.412,0.399,0.4011,290767.0
2022-10-11,0.3917,0.3951,0.3833,0.3895,5028887.0
2022-10-12,0.3833,0.3972,0.3752,0.3812,7916651.0
